Oud_artikelnummer;Vervangend_artikelnummer;Vervanger_staat_apart_in_shop;Vervanger_productstatus
3WP210063206;3WP210079006;ja;active+draft
3WP210063207;3WP210079007;ja;active+draft
3WP210063300;3WP210079100;ja;active+draft
3WP210063301;3WP210079101;ja;active+draft
3WP210063302;3WP210079102;ja;active+draft
3WP210063303;3WP210079103;ja;active+draft
3WP210063304;3WP210079104;ja;active+draft
3WP210063305;3WP210079105;ja;active+draft
3WP210063306;3WP210079106;ja;active+draft
3WP210063307;3WP210079107;ja;active+draft
3WP210063400;3WP210079200;ja;active+draft
3WP210063500;3WP210079300;ja;active+draft
3WP210063501;3WP210079301;ja;active+draft
3WP210063502;3WP210079302;ja;active+draft
3WP210063503;3WP210079303;ja;active+draft
3WP210063504;3WP210079304;ja;active+draft
3WP210063505;3WP210079305;ja;active+draft
3WP210063506;3WP210079306;ja;active+draft
3WP210063507;3WP210079307;ja;active+draft
3WP210063600;3WP210079400;ja;active+draft
3WP210063601;3WP210079401;ja;active+draft
3WP210063602;3WP210079402;ja;active+draft
3WP210063603;3WP210079403;ja;active+draft
3WP210063604;3WP210079404;ja;active+draft
3WP210063605;3WP210079405;ja;active+draft
3WP210063606;3WP210079406;ja;active+draft
3WP210063607;3WP210079407;ja;active+draft
3WP210063700;3WP210079500;ja;active+draft
3WP210063702;3WP210079502;ja;active+draft
3WP210063703;3WP210079503;ja;active+draft
3WP210063704;3WP210079504;ja;active+draft
3WP210063705;3WP210079505;ja;active+draft
3WP210063706;3WP210079506;ja;active+draft
3WP210063707;3WP210079507;ja;active+draft
43570723;43570624;ja;active
44003007000;71003007000;ja;active
45129075000;A54012920100;ja;active
45205004000;A40005004000;nee;
45210151042;45210151042C1;ja;active
45230052000;45230150000;ja;active
45230052000;45230250000;nee;
45230052000;46230151044;nee;
45233053000;45233153000;nee;
45233054000;45233054100;nee;
45233056100;A40033056000;nee;
45305979000;45305379000;ja;active
45312948444;45212948344;ja;active
45312948444;45302191100;ja;active
45330302000;45330302100;ja;active
45402021000;45402021100;ja;active
45412920000;45412920100;ja;active
45412955044S;45412955144S;ja;active
46032011044;46232011044;nee;
46033070100;46133070000;ja;active
46181307E;46180003;ja;active
46181307E;46181138;ja;active
46203090000;46203990100;ja;active
46203990000;46203990100;ja;active
46205004000;A40505004000;nee;
46230035020;A40530035020;ja;active
46230035050;A40530035050;nee;
46233001000;A40533001000;nee;
46233003000;A40533003000;ja;active
46233005000;A40533005000;nee;
46233006000;A40533006000;nee;
46233012000;A40533012000;nee;
46233013100;A40533013100;ja;active
46233014000;A40533014000;nee;
46233022000;0710001612000;nee;
46233029013;A40533029013;nee;
46233029014;A40533029014;nee;
46302091000;A40502091000;ja;active
46305907000;46305907200;ja;active
46305907100;46305907200;ja;active
46811078;46811078S;nee;
4700109901404;47201999014C1A;ja;active
47001996000;47201996100FAA;ja;active
47009060200;47209960000;ja;active
4701005114804;4721095104804;ja;active
4701005114904;4721095104904;ja;active
4701005115004;4721095105004;ja;active
4710199901404;47201999014C1A;ja;active
47201996000;47201996100FAA;ja;active
47203990000;47203990100;ja;active
47205979000;47205979100;ja;active+draft
47205979050;47205979150;ja;active+draft
47213050044;A41013050244;nee;
47230007100 I;47230007300 I;nee;
47232102000;47232018100;ja;active
47232102000;47232102100;ja;active
47232975044;47203996000;nee;
47232975044;47232975000;nee;
47237065033;47237165033;nee;
47237091000;47237191000;nee;
48600185;S604800001000C1;ja;active
48600186;S604800000000C1;ja;active
48600428;48601008;ja;active
48600429;48601009;ja;active
48600455;48601625;nee;
48600471;48600829;ja;active
48600968;S604800000000C1;ja;active
48600969;S604800001000C1;ja;active
48601178;S604800000000C1;ja;active
48601414;S604800001000C1;ja;active
48601494S;48601494ST;ja;active
48601948;S639200001000FA;ja;active
49033091000;0710002217500;nee;
49109481052;0025080166;ja;active
50101033100;54801133000;nee;
50201669244;R607;nee;
50202021000;63002021100;ja;active
50302036000;50302036200;ja;active
50303090402;77203990060;ja;active
50303190000;50303190100;ja;draft
50303990000;50303990200;ja;active
50305016200;A46005016000;ja;active
5030501700004;50305017000C1;ja;active
50305909510;50305994000;ja;active+draft
50305994500;50305994600;ja;active+draft
50307011000;79107011000;ja;active
5031016511804;A46010965118EB;ja;active
5031080011804;79610965118EB;ja;active
50314065244;50314069144;nee;
50314069044;50314069144;nee;
50329080100;50329080200;ja;active
50330079000;50430079000;ja;active
50339931000;SXS15125390;ja;active
50403090044;50403090144;ja;active
50405907500;51605907500;ja;draft
50430007000 I;50530007000 I;ja;active
50430007100 I;50530007000 I;ja;active
5043010200015;5043010210015;nee;
50437006000;50437006100;ja;active
50437008000;50437008100;ja;active
50439105000;50439105100;nee;
50505979003;50505979103;ja;active+draft
50530015044;50430015044;ja;active
50530018100;50430018000;nee;
51005074000;51005174000;nee;
51009073000;50309073000;ja;active
51012091000;77212991100;ja;active
51012092000;51012092100;ja;active
51012093000;51012093100;ja;active
51503990000;51503990200;ja;draft
51503990100;51503990200;ja;draft
51530000044;52430000033;nee;
51530000044;52430002200;nee;
51539974000;51539974200;ja;active
51539974100;51539974200;ja;active
51605907000;50405907000;ja;draft
51630006000;51630106000;ja;active
51630007000 I;51630007200 I;ja;active
51630007000 II;51630007200 II;ja;active
51630038000;51730038000;ja;active
51630060000;51630060100;ja;active
51637061044;51737061044;nee;
51639031000;51639231000;ja;active
52000024;52000232SET;ja;active
52000090;52000092;ja;active
52000091;52000093;ja;active
52000140;52000232SET;ja;active
52330000444;52430000033;nee;
52330000444;52430002200;nee;
54510052000;0019080266S;ja;active
54601084100;77701084000;ja;active
54603020000;77703020000;ja;active
54603036000;63533032000;ja;active
54605068000;77205068000;ja;active
54605262000;50305012000;ja;active
54609071100;58309071234;ja;active
54610459000;54610459100;nee;
54613218000;54613218100;ja;active
54629012100;54629012200;ja;active
54632011200;54832011000;nee;
54732061044;75032061044;ja;active
54737007000;5473700700098;nee;
54801036000;54801036300;ja;active
54802042400;54802031000;ja;active
54802042400;77713002000;ja;active
54803040000;54803940000;ja;active
54803040050;54803940050;ja;active
54803045200;78109945000;ja;draft
54803046200;78110945100;ja;active
54803190000;54803190100;ja;draft
54803990000;54803990300;ja;draft
54803990100;54803990300;ja;draft
54803990200;54803990300;ja;draft
54807040750;54807040450;nee;
5480901004491;78009010144;ja;active
54809060300;78109960000;ja;active+draft
54809082000;54809082200;ja;active
54810060200;78110960000;ja;active+draft
5481006110004;54810961200C1;ja;active
5481006110030;54810961200C1;ja;active
5481096120004;5481096130004A;ja;active
5481096120030;54810961200C1;ja;active
54812063044;54812063144;ja;active
54813090100;54813990100;ja;active
54813090200;54813990200;ja;active
54813951000;54813951100;ja;active
54813960050;79013961000;ja;active
54829055000;78129955100;ja;active
54829094000;54829094100;ja;active
54831201844;54831201544;ja;active
54832900200;54832900300;ja;active+draft
54833214100;79333114000;nee;
54833215100;79333115000;nee;
54833312000;54833312100;nee;
54835080000;54835980000;ja;active
54837006000;55537006000;ja;active
54837075100;54837075200;nee;
55007006200;0770020130;ja;active
55103990000;55103990200;ja;draft
55103990100;55103990200;ja;draft
55105994000;55105994100;ja;active
55403090044;55403090144;ja;active
55405907500;55405907001;ja;draft
55430097001;55430097101;ja;active
55432910000;55432910100;nee;
55432975044;55403996000;ja;active
55432975044;55432975000;ja;active
55505979003;55505979103;ja;active
55630006000;55630006100;ja;active
55630107000 I;55630307100 I;ja;active
55630107000 II;55630307100 II;ja;active
55630107100 I;55630307100 I;ja;active
56401025100;40540756;nee;
56509064000;56509064100;ja;active
56509072000;60310072200;ja;active
57305016100;57305989100;ja;active
5730801000004;5030801020004;ja;draft
57310001044;77310201044;nee;
58011109030;58011109130;ja;active
5803098500004;2213092004404;ja;active
58036065000;0603061001;ja;active
58038005000;58038005100;ja;active
58038020000;58030021100;ja;active
58210051042;58210951042;ja;active
58210051045;58210951045;ja;active
58210051048;58210951048;ja;active
58210051050;58210951050;ja;active
58210051052;58210951052;ja;active
58214050052;58214050054;ja;active
58301423000;50600018;nee;
58303080244;58303080344;nee;
58310025000;58310025100;ja;active
58310050044;54610416500;nee;
58310050044;5831005024491;ja;active
58310050144;54610416500;nee;
58310050144;58310050344;nee;
58310151048;7771015104801;ja;active
58310151049;7771015104901;nee;
5831015105030;7771015105030;ja;active
58310151051;7771015105101;nee;
58310151052;7771015105201;ja;active
58332011000;76632011000;nee;
58332011100;76632011000;nee;
58332011300;76632011000;nee;
58333034000;59033034044;ja;active
58402030000;76502013000;ja;active
58402030000;77302047000;nee;
58406015000;58406015100;ja;active
58412080200;58412080400;ja;active
58429074000;58429074300;ja;active+draft
58429074200;58429074300;ja;active+draft
58436010044;58336010144;nee;
58534031044;58534031144;nee;
58536060044;58536060144;ja;active
58536061044;58536061144;ja;active
58609060000;25009260000;ja;active
59001032120;59001232020;nee;
59001034020;59001234020;nee;
59001038100;5900103830001S;ja;active
5900103920001S;5900103930001;ja;active
59001092100;5900109410030;ja;active
59001093100;5900109410030;ja;active
5900109400030;5900109410030;ja;active
59003090250;59003990250;ja;active
59006022000;59006922000;ja;active
59010011000;77710011000;ja;active
5901005104504;7771095104504;ja;draft
5901005104804;7771095104804;ja;draft
5901005104904;7771095104904;ja;draft
5901005105004;7771095105004;ja;draft
5901005105204;7771095105204;ja;draft
59011079000;59011079100;ja;active
59013030000;59013930200;ja;active
59013030100;59013930100;ja;active
59013930000;59013930100;ja;active
59029041000;79129941100;ja;active
59029041100;79129941100;ja;active
59030001000;59030001050;nee;
59030001000;59030001100;nee;
59030039000;59030039200;ja;active
59034005000;59034005133;nee;
59035055000;59035055144;ja;active
59036028144;83036028144;ja;draft
59038046000;59038046144;ja;active
59229055000;78929955100;ja;active
59512030000;7901203010004;ja;active
59512030100;7901203000004;ja;active
59512030200;7901203000004;ja;active
6000207910004;6030217900004;ja;draft
6000207910030;6030217910030;ja;active
60005022244;61305922144;ja;active
60010075000;50310075100;ja;active
60012019100;75012919100;ja;active
60012037100;60112037000;ja;draft
60012078100;60012978100;ja;active
60012978000;60012978100;ja;active
60030090000;00050226706;ja;active
60030090000;60030090300;nee;
60038001324;60038001224;nee;
60103940000;76203040250;ja;active
60103940000;76203041250;ja;active
6011001004433;6031001014433;ja;active
60112064144;60112964044;ja;active
60112064244;60112964044;ja;active
60112078000;61912979000;ja;active
60112092180;6011299200030;ja;active
60112919000;60112915044;ja;draft
60112923050;60112923150;ja;active
60112924000;60112924100;ja;draft
60112927044;60112927144;ja;draft
60112929000;60112929100;ja;active
60112978044;60312978144;ja;active
60114069000;60114069200;nee;
60142020000;60142020100;ja;active
6020217900004;6030217900004;ja;draft
6020217900030;6030217910030;ja;active
6030217900028;6030217910028;ja;active+draft
6030217900030;6030217910030;ja;active
60302931144;60302931044;ja;draft
60303990044;60403990044;ja;active
60303990144;60403990044;ja;active
60304937000;60304937100;ja;active
60305979000;60705979000;ja;active
6030597905033;60305979050;ja;active
60305979100;60705979000;ja;active
60305979200;60705979000;ja;active
6030597920033;6070597900033;ja;active
60307914000;60307914100;ja;active
60307940010;60307940011;ja;active
60308965000;60308965100;ja;draft
60308965000;60708008070;ja;active
60308965000;60708008071;ja;active
60309015000;60609015000;ja;active
60309081000;60309081100;nee;
60309176000;60309276000;ja;active
60310072100;60310072200;ja;active
60311034000;60311034100;nee;
60312033000;60312133000;ja;active
60312912044;60312912244;ja;active
60312912144;60312912244;ja;active
60312924000;60312020250;ja;active
60312924000;60312924100;ja;active
60312924150;61412925020;ja;active
60312925010;61412925020;ja;active
60312935044;60712935044;ja;draft
6031296804404;6031296834404;ja;draft
6031296804433;6031296834433;ja;active
6031296814404;6031296834404;ja;draft
6031296814433;6031296834433;ja;active
6031296824404;6031296834404;ja;draft
6031296824433;6031296834433;ja;active
60312978044;60312978144;ja;active
60313909000;61313909000;ja;active
60313950144;60313950044;ja;draft
60314910000;60314910200;ja;draft
60314910033;60814910033;ja;active
60314910044;60314910144;ja;active
60314910100;60314910200;ja;draft
60314910133;60814910033;ja;active
60333006000;61733006000;nee;
60333006000;61733016000;nee;
60333016000;61733006000;nee;
60333016000;61733016000;nee;
60335093000;60335193000;nee;
60402933044;60402933144;ja;active
60412002000;60412002200;ja;active
60412002100;60412002200;ja;active
60412919000;60712919000;ja;active
60412993100;60412993400;ja;draft
60412993200;60412993500;ja;active+draft
60412993300;60412993600;ja;active
60612910044;22112910044C1;ja;active
60612910144;22112910044C1;ja;active
60614937044;60314025000;ja;active
60614937044;60314026000;ja;active
60702139000;60702139100;ja;active
60707947044;6030801310033;nee;
60707947044;60707947000;ja;active
60707947044;60707947033;ja;active
6070990104430;6030910124430;nee;
6070990104430;60309173100;ja;active
6070990104430;60309277100;ja;active
6070990104430;6031010134430;nee;
6070990104430;60310173200;ja;active
6070990104430;60310277100;ja;active
6070990104430;60312133000;ja;active
6070990114430;6030910124430;nee;
6070990114430;60309173100;ja;active
6070990114430;60309276000;ja;active
6070990114430;60309277100;ja;active
6070990114430;6031010134430;nee;
6070990114430;60310173200;ja;active
6070990114430;60310277100;ja;active
6070990114430;60312033050;ja;active
60711085000;60711085100;nee;
60712912044;60712912144;ja;active
60712922144;60312924050;ja;active
60712922144;63512922000;ja;active
60712923144;60312924050;ja;active
60712923144;63512923000;ja;active
60712929000;60712929100;ja;draft
60712929144;60312924050;ja;active
60712929144;63512929000;ja;active
60712992044;60712992144;ja;active
60714020000;60714020100;nee;
60714089000;60714089200;nee;
60714910033;60714910133;ja;active
61002055060;61302933100;ja;active
6100302313333S;6100302323333S;nee;
6100302313333S;61303023120;nee;
61003024000;61003024200;nee;
61003045200;61709945044;ja;active
61004037050;60304937100;ja;active
61005099104;62005989030;ja;active
61007088200;61007088500;ja;active
61012032000;6101293210004;ja;active
61012032002;61012032102;nee;
61012932000;6101293210004;ja;active
61013009100;61313909000;ja;active
61013050044;6101305004401S;nee;
61029055110;69329955010;ja;active
61029055120;69329955020;ja;active
61029055130;69329955030;ja;active
61029055244;6352995500001;ja;active
61029055300;61129965100;ja;active
61029055400;69329955000;ja;active
61029055500;69329965000;ja;active
61029055510;69329965010;ja;active
61029055610;69329965020;ja;draft
61029955044;90229955044;ja;active
61029955110;69329955020;ja;active
61029955244;69329955020;ja;active
61029955244;90229955044;ja;active
61029955620;69329965050;ja;active
61105099140;62005989000;ja;draft
61129965000;61129965100;ja;active
61230026100;61330926044;ja;draft
61236060100;61236060000;nee;
61238021200;61238021400;ja;active
6130199904404;6130199914404;ja;active
61302933000;61302933100;ja;active
61303023020;6100302323333S;nee;
61303023020;61303023120;nee;
61303937044;61303937244;ja;active
61303937144;61303937244;ja;active
61303938021;61334931044;ja;active
61303939021;61313950044;ja;draft
6130495000049;6130495010049;ja;active
61305900044;61305900144;ja;active
61305900144;61305900244;ja;active
61305907000;61305907200;ja;draft
61305907100;61305907200;ja;draft
61305922044;61305922144;ja;active
61305950010;61305950110;ja;active
61305950100;61305950200;ja;active
61305950120;61305950220;ja;active
61305979000;61405979100;ja;active
61305979100;61405979100;ja;active
61305984044;61305984144;ja;active
61307947000;61607947000;ja;active
61308915000;61308915100;ja;active
61309001144EB;61609001244EB;nee;
61309945000;61709945044;ja;active
61312928000;61712928000;ja;active
61312935044;61412935044;ja;active
61312978000;61712978000;ja;active
61313029000;61313029100;nee;
6131307500033S;61313075000C1;nee;
61313931044;61313931244;ja;active
61313931144;61313931244;ja;active
61313932044;61313932244;ja;active
61313932144;61313932244;ja;active
61313962000;6131396210004A;ja;active
6131396200030;61313962100C1A;ja;active
61330986044;6171295104449;ja;active
61342041000;61342041100;ja;active
61405979000;61405979100;ja;active
6140597900033;6140597910033;ja;active
61405979020;61405979120;ja;active
6140597902033;6140597912033;ja;active
6140791400099;6140791400030;ja;active
61407940000;61407940100;ja;active
61408008000;61408008144;nee;
61408508000;61408508044;nee;
61412032010;61412132010;ja;active
61412919000;61612919100;ja;active
61412922000;61412922200;ja;active
61412922100;61412922200;ja;active
61412923000;61412923200;ja;active
61412923100;61412923200;ja;active
61412925000;61412925200;ja;active
61412925000AB;61412922200;ja;active
61412925000AB;61412923200;ja;active
61412925000AB;61412925040ABA;ja;active
61412925000BK;61412922200;ja;active
61412925000BK;61412923200;ja;active
61412925000BK;61412925040BKA;ja;active
61412925000CA;61412922200;ja;active
61412925000CA;61412923200;ja;active
61412925000CA;61412925040CAA;ja;active
61412925000EB;61412922200;ja;active
61412925000EB;61412923200;ja;active
61412925000EB;61412925040EBA;ja;active
61412925100;61412925200;ja;active
61430007010 I;61730007010 I;nee;
61430007010 II;61730007010 II;nee;
61435010000;61435010200;nee;
61508921044;61508921010;ja;active
61508921044;61508921020;ja;active
61508959044;61508960000;ja;active
61508959044;61508961000;ja;active
61508964044;61508962033;ja;active
61508964044;61508963033;ja;active
61605915044;61605915144;ja;active
61612919000;61612919100;ja;active
61635010200;61635010300;nee;
61703937044;61703942144;ja;active
61703937044;61703943044;ja;active
61705999000;61305922144;ja;active
61705999000;61705915044;ja;active
61705999000;61705999044;ja;active
61707958033;61707958133;ja;active
61708910000;6170891000001A;ja;active
61712912044;61712912144;ja;active
61712991100;61712994400;ja;active+draft
61712993500;61712994300;ja;active
61712993600;61712994200;ja;active
61712994100;61712994400;ja;active+draft
61713932044;61713932144;ja;active
61903923050;6190392305001A;ja;active
61905979000;61905979200;ja;active
61905979100;61905979200;ja;active
61907925044;61907925000;nee;
61907925044;61907926000;nee;
61907925044;61907927000;nee;
61907997000;61907997100;ja;active
61908060033C1;61908060133C1;ja;active
61908940044;61908943000;nee;
61908940044;61908944000;nee;
61910967144;61910968000;nee;
61910967144;63710967000;ja;active
61910967144;63710967030;ja;active
61912922000;61912922144;nee;
61912922044;61912926000;ja;active
61912922044;63512922000;ja;active
61912922044;63512925010;ja;active
61912923000;61912923144;nee;
61912927000;61912927144;ja;active
61912927044;61912927144;ja;active
61912929044;61912926000;ja;active
61912929044;63512925010;ja;active
61912929044;63512929000;ja;active
61912932000;61912922144;nee;
61912932000;61912923144;nee;
61912932044;61912922144;nee;
61912932044;61912923144;nee;
61912934044C1;61912934144C1;ja;active
62002903000;93002903100;ja;active
62002903100;93002903100;ja;active
62003022000;62003922000;ja;active
62005099050;62005948000;ja;active
62012025100;62012925000;ja;draft
62012027052;62012027055;ja;active
62012028000;62012029000;ja;active
6201292700030;62012027000;ja;active
6201292700030;6201202702030;ja;active
62012927000AB;62012027000;ja;active
62012927000AB;62012027020AB;ja;active
62012927000BH;62012027000;ja;active
62012927000BH;62012027020BH;ja;active
62012927000BK;62012027000;ja;active
62012927000BK;62012027020BK;ja;active
62012927000EB;62012027000;ja;active
62012927000EB;62012027020EB;ja;active
62108095000BB;61408198000;ja;active
6251311500130;6251301510130;nee;
6251311600130;6251301610130;nee;
62605099001;62005948000;ja;active
63002021000;63002021100;ja;active
6350297900030;63502979020;ja;active
6350297900030;7650297905030;ja;active
6350297900030;76502979144;ja;active
63502979000AB;63502979020;ja;active
63502979000AB;76502979050AB;ja;active
63502979000AB;76502979144;ja;active
63502979000EB;63502979020;ja;active
63502979000EB;76502979050EB;ja;active
63502979000EB;76502979144;ja;active
63503916044C1;63503916444C1;ja;active
63503916144C1;63503916344C1;ja;active
63503923050;63503923150;ja;active
63503990044;63503997010;ja;active
63503990044;63503998010;ja;active
63505979000;63505979100;ja;active
63505979100;63505979200;ja;active
63507908044;63507908144;ja;active
63508910144AB;63501994044C1;ja;active
63508910144AB;63508910000AB;ja;active
63508910144C1;63501994044C1;ja;active
63508910144C1;63508910000C1;ja;active
63508910144EB;63501994044C1;ja;active
63508910144EB;63508910000EB;ja;active
63512012033;63512012133;ja;active
63512012044;63512012066;ja;active
63512012044;63512012133;ja;active
63512919000;63512919100;ja;active
63512922044;63512922000;ja;active
63512922044;63512925010;ja;active
63512922060;63512922160;ja;active
63512922144;63512922000;ja;active
63512922144;63512925010;ja;active
63512923044;63512923000;ja;active
63512923044;63512925010;ja;active
63512923060;63512923160;ja;active
63512923144;63512923000;ja;active
63512923144;63512925010;ja;active
63512924000;63512924100;ja;active
63512925000;63512925100;ja;active
63512927044;63512927144;ja;active
63512929044;63512925010;ja;active
63512929044;63512929000;ja;active
63512929060;63512929160;ja;active
63512929144;63512925010;ja;active
63512929144;63512929000;ja;active
63512929500;63512929644;nee;
63512929544;63512929644;nee;
63512931044;63512931144;ja;active
63512932000;63512932100;ja;active
63512932044;63512924244;nee;
63512932044;63512925144;nee;
63512955044;63512955144;ja;active
63512955544;63503023000C1;ja;active
63512955544;63512955533;ja;active
63512992044;63512992144;ja;active
63513051000;63513151000;nee;
63533030011;C63533030011;ja;active
63535019000;0025050166S;ja;active
63535019000;63535019200;ja;active
63605058100;76105058000;nee;
63605979000;63605979200;ja;active
6360597900033;6360597920033;ja;active
63605979020;63605979120;ja;active
6360597902033;6360597912033;ja;draft
63605979100;63605979200;ja;active
6360597910033;6360597920033;ja;active
63605999000;63605999044;ja;active
63605999000;64115910044;ja;active
63608940044;63608941044;ja;active
63608940044;63608942044;ja;active
6360994504404;6360994516604;nee;
6360994504404;63609946044;nee;
63609945044C1;63609945166C1;nee;
63609945044C1;63609946044;nee;
63612964044;60712964044;ja;active
63612964044;95812964100;ja;active
63630968044;63630968144;ja;active
63707940044;63707940000;ja;active
63707940044;63711986000;ja;active
63707947044;63707947000;ja;active
63707947044;63711920044;ja;active
63710967144;63710967000;ja;active
63710967144;63710967030;ja;active
63712964088;60712964044;ja;active
63712964088;63712944044;ja;active
6410199904404A;6410199914404A;ja;active
6410199918804A;6410199914404A;ja;active
6410199918804A;69001181010;ja;active
6410199918830B;6410199914430B;ja;active
6410199918830B;69001181010;ja;active
64102931044;6410293114404A;ja;active
64103937044;64103937144;ja;active
64105011000;C90705011000;nee;
64105979000;64105979100;ja;active
64105979100;63605979200;ja;active
64107090000;64107090100;nee;
64107955044;64107097100;ja;active
64107955044;64107955133;ja;active
64107955144C1B;64107097100;ja;active
64107955144C1B;64107955133;ja;active
64107955166C1A;64107955144C1B;ja;active
64107955166C1B;64107097100;ja;active
64107955166C1B;64107955133;ja;active
64108908033;64108908244;ja;active
64108908144;64108908344;ja;active
64108915044;64108915144;ja;active
64108997000;64108997100;ja;active
64112912044;64112920000;nee;
64112912044;64112921040;ja;active
64112927044;64112927144;ja;active
64112930000;64112920000;nee;
64112930000;64112921000;nee;
64112932044;64112932144;ja;active
64112940000;64112940200;ja;active
64112940100;64112940200;ja;active
64112955044;64103923000;nee;
64112955044;Z10006;ja;active
64112966000;61611046000;nee;
64112966000;61611046010;nee;
64113031000;64113031100;nee;
64113902044;6411390214404A;ja;active
6411390500030;00010000447;ja;active
64114937066;64114937044;ja;active
69001081000;69001181000;ja;active
69001084000;69001084100;ja;active
6900314000001S;6900314010001S;ja;active
6900314100001S;6900314110001S;ja;active
69003937144;69003937244;ja;active
69007025014;60708025030;ja;active
69007908000;69007908100;ja;draft
69008026000;69008026000;ja;active
69008026000;69008026150;nee;
69008026050;69008026000;ja;active
69008026050;69008026150;nee;
69008110100;69308910000;ja;draft
69009015000;61009015000;ja;active
69009085100;61312983044;ja;draft
69011046044;61311946044;ja;active
69013962000;6131396210004A;ja;active
69014015000;00185006009U0;ja;active
69034032100;A6393403200001;nee;
69034081030;69034981030;ja;draft
69034081044;69034981033;ja;draft
69130986044;6171295104449;ja;active
6930801000049;6170891000001A;ja;active
69329965000;69329965100;ja;active
69329965030;69329965050;ja;active
69329965040;69329965050;ja;active
69330985044;6171295004449;ja;active
70009082000;A46009082000;ja;active
70010060000;70010160000;ja;active
7200293104404;7200293124404;ja;draft
7200293114404;7200293124404;ja;draft
72003990000;72003990100;ja;draft
72005979000;72005979100;ja;draft
72012955044;72512955044;ja;active+draft
7201390204404;7201390224404;ja;draft
7201390214404;7201390224404;ja;draft
72035994000;7203599400004;ja;active
7210297900028;72102084044;ja;active
7210297900028;7960218204428;ja;active
7210297900030;72102084044;ja;active
7210297900030;7960218204430;ja;active
72102979000EB;72102084044;ja;active
72102979000EB;79602182044EB;ja;active
72210079000;72210079100;nee;
75003045000;75609945000;ja;active
75003046100;75610945000;ja;active
75009061000;7500906100033;nee;
75012019100;75012919100;ja;active
75012919000;75012919100;ja;active
75032011110;76632010033;ja;active
75032111100;76632010000;ja;active
75612978000;75612978200;ja;active
75612978100;75612978200;ja;active
7600199904404;7600199914404;ja;draft
76005979000;76005979200;ja;active
76005979100;76005979200;ja;active
76005999200;76005907000;ja;active
76005999200;76005979200;ja;active
76007047100;76007147000;nee;
76007940044;7600794004430;ja;draft
76008915044;76008915144;ja;draft
76012912044;76012912244;nee;
76012925000;76012925100;ja;active
7601296804404;7601296814404;ja;draft
7601296804430;7601296814433;ja;draft
76012992044;76012992244;ja;active
76012992070;76012992170;ja;draft
76012992144;76012992244;ja;active
76013903000;60613903000;ja;active
76014025000;60314025000;ja;active
76014026000;60314026000;ja;active
76105979000C1;76105979140;nee;
76105979000C1;76105999000C1;ja;active
76105979040;76105979140;nee;
76105979500;76105979740;nee;
76105979500;76105999600;ja;active
76105979570;76105979670;nee;
76105979640;76105979740;nee;
76105999500;76105999600;ja;active
76112925044;61912925044;ja;active
76112925044;76112928044;ja;active
76235028000;0310000903200;nee;
76501033000;76501033200;nee;
7650207905004;7650297905004;ja;active
76502979000AB;76502979050AB;ja;active
76502979000AB;76502979144;ja;active
76502979000EB;76502979050EB;ja;active
76502979000EB;76502979144;ja;active
76502979044;76502979144;ja;active
7650297910030;7650297905030;ja;active
7650297910030;76502979144;ja;active
76503028001;76503028101;ja;active
7650801000004;7650801010004;ja;active
7650805000004;7650805400004;ja;draft
7650805100004;7650805400004;ja;draft
7650815000030;7650815010030;ja;active
7650815100030;7650815110030;ja;active
76508999000;76508999200;ja;active
76512020000;76512920000;ja;active
76512027050;76512927000;ja;draft
76513050144;0985080003;ja;active
76513050144;36003014000;ja;active
76513050144;7651305024401;ja;active
76513050144;76513157000;nee;
76513903000;90813903000;ja;active
76633003100;76633103100;nee;
76908050000C1;76908050100C1;ja;active
76908051000C1;76908051100C1;nee;
7690994504404;6360994516604;nee;
7690994504404;76909946044;nee;
76909945044C1;63609945166C1;nee;
76909945044C1;76909946044;nee;
76912955044;76903923000C1;nee;
76912955044;76912955033;nee;
76912955544;7690312300033;nee;
76912955544;76912955533;nee;
77012005000;A54012905000FAA;ja;active+draft
77031001400;77031001700;nee;
77038001100;77038001200;nee;
7710907200004S;A4800907200004S;nee;
77109072000C1S;A48009072000C1S;ja;active
7720199902204;7720199912204;ja;active
7720199902230;7720199912230;ja;active
77202002100;77202002144;ja;active
77202923000;77202923100;ja;active
77203990000;77203990200;ja;draft
77203990100;77203990200;ja;draft
7720406600004;7720406610004;ja;active
7720499400030;7720499410030;ja;active
77206920000;77206920100;ja;active
77206921000;77206921100;ja;active+draft
77207940000;77207940400;ja;draft
77207940200;77207940700;ja;draft
77208190100;77208190400;ja;active
77208190200;77208190500;ja;active
77208190300;77208190600;ja;active
77211942044;77211942144;ja;draft
77211942060;77211942160;ja;active
77212905344;77212905444;ja;active
77212991000;77212991100;ja;active
7723000206004;2213099404404;ja;active
7723000216004;2213099404404;ja;active
7723000216068;2213099404468;ja;active
77230118000;77230018000;nee;
77230902144;2213099404404;ja;active
7723090214430;22130994044C1;ja;active
77232004000;77232104000;ja;active
77235936000;78135936100;ja;active
77235936100;78135936100;ja;active
77236072120;C77236072120;ja;active
77239974000;77239974200;ja;active
77239974050;77239974150;ja;active+draft
77239974100;77239974200;ja;active
77301094150;77301994050;ja;draft
77303990000;77303990100;ja;draft
7730600101004;7730600111004;ja;draft
7730920104430;2610900104430;ja;active
7731020104430;2611000104430;ja;active
7731020104430;78010016000;ja;active
77311953000;79111053000;ja;active
77312030000;77312030100;ja;active
77312066000;79412966050;ja;active
77312066000;79412966100;ja;active
