Oud_artikelnummer;Vervangend_artikelnummer;Vervanger_staat_apart_in_shop;Vervanger_productstatus
00050000212;78730007210 II;ja;active
00050000214;78030007010 II;nee;
00050000215;90630007010;nee;
00050000216;78130007010 I;ja;active
00050000217;78130007010 II;ja;active
00050000218;78930007110 I;nee;
00050000219;78930007110 II;ja;active
00050000220;77230207010 I;nee;
00050000221;77230207010 II;ja;active
00050000222;77130007110 I;ja;active
00050000223;77130007110 II;nee;
00050000224;75330007110 I;nee;
00050000225;75330007110 II;nee;
00050000229;79030207010 I;ja;active
00050000230;79030207010 II;ja;active
00050000231;79230207010 I;nee;
00050000232;79230207010 II;ja;active
00050000233;50430007110 I;ja;active
00050000234;50430007110 II;ja;active
00050000235;51630007210 I;ja;active
00050000236;51630007210 II;ja;active
00050000239;79030507010 I;nee;
00050000240;79030507010 II;nee;
00050000241;79230507010 I;ja;active
00050000242;79230507010 II;ja;active
00050000243;55430007010 I;nee;
00050000244;55430007010 II;ja;active
00050000245;50430007110 I;ja;active
00050000246;50430007110 II;ja;active
00050000247;47230007110 I;nee;
00050000248;47230007110 II;ja;active
00050000249;76630007310 I;nee;
00050000250;76630007310 II;nee;
00050000251;79230207210 I;ja;active
00050000252;79230207210 II;ja;active
00050000253;76630007310 I;nee;
00050000254;76630007310 II;nee;
00050000255;79030507110 I;nee;
00050000256;79030507110 II;nee;
00050000257;79530607110 I;nee;
00050000258;79530607110 II;ja;active
00050000259;79730107110 I;nee;
00050000260;79730107110 II;nee;
00050000261;55430007010 I;nee;
00050000262;55430007010 II;ja;active
00050000263;55630307110 I;ja;active
00050000264;55630307110 II;ja;active
00050000265;55630307110 I;ja;active
00050000266;55630307110 II;ja;active
00050000271;79430107210 I;nee;
00050000272;79430107210 II;nee;
00050000815;00050000819;ja;draft
00050000947;46233010010;ja;active
00050002001;SPAB17G381H118I;nee;
00050002002;SPAA14U46AC1243;nee;
00050002003;SPAA14U49AC1243;nee;
00050002004;SPAA13U48AM1186;nee;
00050002005;SPAA13U50AM1186;ja;active
00050002006;SPAA13U50AM118A;ja;active
00050002007;SPAA13U52AM118A;ja;active
00050002008;SPAA14U50AM118A;ja;active
00050002010;SPAA14U52AM118A;ja;active
00050002011;SPAB17G381H118I;nee;
00050002012;SPAB17G411H118H;ja;active
00050002013;SPAB17G421M118J;ja;active
00050002016;SPAB15G423M118B;ja;active
00050002017;SPA214U453A118B;nee;
00050002018;SPA214U423A118B;ja;active
00050002019;SPAA11U48CC118A;nee;
00050002020;SPAA14U50AM1186;nee;
00050002021;SPAB16G381H118I;nee;
00050002023;SPAB16G421M118J;nee;
00050002024;SPA216G42KM118B;ja;active
00050002025;SPAB16G403M118B;ja;active
00050002026;SPA216G40KM118B;nee;
00050002027;SPA2151453K118B;ja;active
00050002028;SPAA14U46CC118A;ja;active
00050002029;SPA217G383N118H;ja;active
00050002036;00050002051;ja;active
00050002037;SPAA13U50AM1186;ja;active
00050002038;SPAA13U51AM1186;ja;active
00050002039;SPAA13U50AM118A;ja;active
00050002040;SPA2142453K118B;ja;active
00050002042;SPAA13U48AM1186;nee;
00050002044;SPAA13U50CM1186;ja;active
00050002046;SPAA14U52AM118A;ja;active
00050002047;SPAA13U52AM118A;ja;active
00050002052;SPAA13U52CM118A;ja;active
00050002057;SPA214U423K118B;ja;active
00050002058;SPA214U423K118B;ja;active
00050002059;SPA2151453K118B;ja;active
00050002060;SPA2142453K118B;ja;active
00050002061;SPA2151463K118B;nee;
00050002062;SPA2141463K118B;ja;active
00050002064;SPAA14U52BM118A;nee;
00050002065;SPAA13U51BM118A;ja;active
00050002066;SPAA13U48AM118A;ja;active
00050002067;SPAA14U50AM118A;ja;active
00050002068;SPAA14U50BM118A;ja;active
00050002072;SPA113U50MM118A;nee;
00050002074;SPAB16G423M118B;ja;active
00050002075;SPAA13U48BM1187;nee;
00050002076;SPAA14U51BM1187;nee;
00050002077;SPAA14U50AM1186;nee;
00050002078;SPAA14G52AM118A;nee;
00050002080;SPAA14U51AM1186;nee;
00050002083;SPA114G52KM118A;ja;active
00050002088;SPAA14G50AM118A;nee;
00050002089;SPAA14G45AM118A;ja;active
00050002090;SPA215G463M118B;nee;
00050002091;SPAA13U46AC1243;nee;
00050002092;SPAA13U49AC1243;ja;active
00050002094;SPAA14G50AM118A;nee;
00050002096;SPA114G50KM118A;nee;
00050002097;SPAA12U48CC118A;ja;active
00050002098;SPAB16G413M116E;ja;active
00050002100;SPAB16G453M118E;ja;active
00050002101;SPAA13U51AM1186;ja;active
00050002102;SPAA13U49AM1186;nee;
00050002103;SPAA13U51AM118A;ja;active
00050002105;SPAA14U51AM118A;nee;
00050002108;SPAA14G48AM118A;nee;
00050002109;SPAA13U51BM118A;ja;active
0014060103;0024060106;ja;active
0015060120;59009062013;ja;active
0015060163;0025060166;ja;active
0015060203;0025060206;ja;active
0015060303;0025060306;ja;active
0015060353;0025060356;ja;active
0015060403;0025060406;ja;active
0015060453;0025060456;ja;active
0015080203;0025080206;ja;active
0015080403;0025080406;ja;active
0017060203;0017060205;ja;active
0017060204;0017060206;ja;active
0019080206;0019080206S;ja;active
0024060123;0900000601203;ja;active
0026060186;0025060166;ja;active
00501020S1;00501020S1T;nee;
0081500181;0081050181;ja;active
0094032253;0094032250;ja;active
0137060000;0137060003;ja;active
0405242813;0030302401300;ja;active
0472C104U203220;A410C104Y203220;nee;
05992P01SET;A618C101W402220;nee;
0617C101U402220;0617C101U402200;nee;
0617C101U402220;52000257SET;nee;
0617C101U402220;T14096;ja;active
0625062034;0625062035;ja;active
0760003247000;0760003247001;ja;active
0760101840;0760101844;ja;active
0760153459;0760001534501;nee;
0760304771;0760304772;ja;active
0760324770;0760324771;ja;active
0770012020;0770120020;ja;active
0770400020;46811042;nee;
0770780021;0770800021;ja;active
0770790021;0770800021;ja;active
0888050650;6946005;ja;active
0912060123;0025060126;ja;active
0912060166;0984060163;ja;active
0912100250;0032100256S;ja;active
0991060166;010642060166S;ja;active
0991060166S;010642060166S;ja;active
10001020000;0310000902900;ja;active
10001020300;0310000902900;ja;active
113080802;0113080802;ja;active
12000P01;A54004905000FAA;ja;active
12000Q06E;A54004905500FAA;ja;active
14152T61100SET;14152T61SK1;nee;
14152T61100SET;14182T67SET;ja;active
16180D03;16181L01S01;ja;draft
20180194INT;20210021INT;ja;active
20190010INT;2025005INT;ja;active
20190026INT;20210013INT;ja;active
20200016DE/EN;20200016DEEN;nee;
20200016ES/EN;20200016ESEN;nee;
20200016FR/IT;20200016FRIT;nee;
20210004DE/EN;20210004DEEN;nee;
20210004FR/IT;20210004FRIT;nee;
2210199908804A;2210199904404A;ja;active
2210199908804A;69001181010;ja;active
22101999088C1A;22101999044C1A;ja;active
22101999088C1A;69001181010;ja;active
22103916044C1;22103916144C1;ja;active
22103990044;22103990144;ja;active
22105979000C1;22105979200C1;ja;active
22105979100C1;22105979200C1;ja;active
22107940044;22107940000;nee;
22107940044;63711986000;ja;active
22112919044;22112919000;ja;active
22112919044;22112919055;ja;active
22112925144;22112925344;ja;active
2213891904404;2213891900004;ja;active
23507940500;23507940800;ja;active
24503090044;24503090144;nee;
24532975044;24532975000;ja;active
24532975044;55403996000;ja;active
2500109400028;2500109410028;ja;active
25005900044;25005900144;ja;active+draft
25005979000;79005979100;ja;active+draft
2500600105028;2500600115028;ja;active
2500801000028;2500801000028D;ja;active
25032975044;25032975000;ja;active
25032975044;79003996000;ja;active
25102979000AB;25002082044AB;nee;
25102979000AB;25102084044;ja;active
25107913044;25107913144;ja;active
25111055000;25111155000;nee;
25505900044;25505900144;ja;active+draft
25530902144;2213099404468;ja;active
26102924000;26102924100;ja;active
26105979000;79405979100;ja;draft
26108990200;26108990300;ja;active
26112973000;26112973100;ja;active
26135952044;26135952144;ja;active
2650297900028;25102084044;ja;active
2650297900028;7960218204428;ja;active
26607913044;26607913144;ja;active
2700599005049;2710599015049;ja;active
27005999000;27005083120;nee;
27005999000;27005999100;ja;active
27012978000;27012978100;ja;draft
27013962000;6131396210068A;ja;active
27035010000;27035010100;nee;
27105979040;27105979140;nee;
27105979640;27105979740;nee;
28514926066;28514926044;ja;active
28611980044;28611980000;ja;active
306054;00062030000;ja;active
312305;3PW210075000;ja;draft
318216;AG180001INT;ja;active
318219;AG180003INT;ja;active
318220;AG180004INT;ja;active
3210142;2024008INT;ja;active
3210589;AG180002INT;ja;active
3210917;20210021INT;ja;active
3212087;20170044INT;ja;active
3212175;20170091INT;ja;active
3212443;20170089INT;ja;active
3212449;20170092INT;ja;draft
3212659;20170064INT;ja;active
3212677;20210030INT;ja;active
3AG240048502;3AG240072602;ja;active
3AG240048503;3AG240072603;ja;active
3AG240048504;3AG240072604;ja;active
3AG240048505;3AG240072605;ja;active
3L491929100/01;3L49192910001;ja;active
3L491929100/11;3L49192910011;ja;draft
3L491929100/13;3L49192910013;ja;draft
3PW0920800/01;3PW092080001;ja;draft
3PW122040/05;3PW12204005;ja;draft
3PW122040/06;3PW12204006;ja;draft
3PW1220400/01;3PW122040001;nee;
3PW152030/05;3PW15203005;nee;
3PW152030/07;3PW15203007;ja;draft
3PW1610300/01;3PW161030001;ja;draft
3PW1610500/01;3PW161050001;ja;draft
3PW1610500/02;3PW161050002;ja;draft
3PW1619101/02;3PW161910102;ja;draft
3PW1619101/10;3PW161910110;ja;draft
3PW1619101/11;3PW161910111;ja;draft
3PW1620100/14;3PW162010014;ja;draft
3PW1719500/10;3PW171950010;ja;draft
3PW1729100/02;3PW172910002;ja;draft
3PW1729100/11;3PW172910011;ja;draft
3PW1729100/12;3PW172910012;ja;draft
3PW1729100/13;3PW172910013;ja;draft
3PW1729100/14;3PW172910014;ja;draft
3PW1729100/15;3PW172910015;ja;draft
3PW1729100/16;3PW172910016;ja;draft
3PW1729300/31;3PW172930031;ja;draft
3PW1729300/32;3PW172930032;ja;draft
3PW1729300/33;3PW172930033;ja;draft
3PW1729300/34;3PW172930034;ja;draft
3PW1729300/35;3PW172930035;ja;draft
3PW1729300/41;3PW172930041;nee;
3PW1729300/42;3PW172930042;nee;
3PW1729300/43;3PW172930043;nee;
3PW1729300/44;3PW172930044;nee;
3PW1729300/45;3PW172930045;nee;
3PW1772700;3PW17V2700;ja;draft
3PW1772800;3PW17V2800;ja;draft
3PW1775300;3PW17V5300;ja;draft
3PW1810402;3PW18V0402;ja;draft
3PW1810403;3PW18V0403;ja;draft
3PW1810404;3PW18V0404;ja;draft
3PW1810405;3PW18V0405;ja;draft
3PW1810406;3PW18V0406;ja;draft
3PW1811202;3PW18V1202;nee;
3PW1811203;3PW18V1203;nee;
3PW1811204;3PW18V1204;nee;
3PW1811205;3PW18V1205;nee;
3PW1819200/02;3PW181920002;ja;draft
3PW1819200/10;3PW181920010;ja;draft
3PW1819200/15;3PW181920015;ja;draft
3PW1819400/02;3PW181940002;ja;draft
3PW1819400/22;3PW181940022;ja;draft
3PW1819500/01;3PW181950001;ja;draft
3PW1819500/02;3PW181950002;ja;draft
3PW1819500/03;3PW181950003;ja;draft
3PW1819500/04;3PW181950004;ja;draft
3PW1819500/05;3PW181950005;ja;draft
3PW1819500/06;3PW181950006;ja;draft
3PW1819500/07;3PW181950007;nee;
3PW1819500/08;3PW181950008;ja;draft
3PW1819500/10;3PW181950010;ja;draft
3PW1819500/11;3PW181950011;ja;draft
3PW1819500/12;3PW181950012;ja;draft
3PW1819500/13;3PW181950013;ja;draft
3PW1819500/14;3PW181950014;ja;draft
3PW1819500/15;3PW181950015;ja;draft
3PW1819500/16;3PW181950016;ja;draft
3PW1819500/17;3PW181950017;ja;draft
3PW1819500/21;3PW181950021;ja;draft
3PW1819500/22;3PW181950022;ja;draft
3PW1819500/23;3PW181950023;ja;draft
3PW1819500/24;3PW181950024;ja;draft
3PW1819500/25;3PW181950025;ja;draft
3PW1819500/26;3PW181950026;ja;draft
3PW1819500/27;3PW181950027;ja;draft
3PW1819500/31;3PW181950031;ja;draft
3PW1819500/32;3PW181950032;ja;draft
3PW1819500/50;3PW181950050;ja;draft
3PW1819500/51;3PW181950051;ja;draft
3PW1842103;3PW18V2103;ja;draft
3PW1842104;3PW18V2104;ja;draft
3PW1842105;3PW18V2105;ja;draft
3PW1842106;3PW18V2106;ja;draft
3PW1871600;3PW210065100;ja;draft
3PW18V1600;3PW210065100;ja;draft
3PW1911402;3PW19V1402;nee;
3PW1911602;3PW19V1602;ja;draft
3PW1911603;3PW19V1603;ja;draft
3PW1911604;3PW19V1604;ja;draft
3PW1911605;3PW19V1605;ja;draft
3PW1911606;3PW19V1606;ja;draft
3PW1919100/21;3PW191910021;ja;draft
3PW1919100/22;3PW191910022;ja;draft
3PW1919100/23;3PW191910023;ja;draft
3PW1919100/24;3PW191910024;ja;draft
3PW1919300/11;3PW191930011;ja;draft
3PW1919300/12;3PW191930012;ja;draft
3PW1919300/13;3PW191930013;ja;draft
3PW1919300/14;3PW191930014;ja;draft
3PW1919300/15;3PW191930015;ja;draft
3PW1919300/16;3PW191930016;ja;draft
3PW1920101;3PW19V0301;ja;active
3PW1920102;3PW19V0302;ja;active
3PW1920103;3PW19V0303;ja;active
3PW1920104;3PW19V0304;ja;active
3PW1920105;3PW19V0305;ja;active
3PW1920106;3PW19V0306;ja;active
3PW1920107;3PW19V0307;ja;active
3PW1920108;3PW19V0308;ja;active
3PW1920201;3PW19V0201;ja;draft
3PW1920202;3PW19V0202;ja;draft
3PW1920203;3PW19V0203;ja;draft
3PW1920204;3PW19V0204;ja;draft
3PW1920205;3PW19V0205;ja;draft
3PW1920206;3PW19V0206;ja;draft
3PW1920207;3PW19V0207;ja;draft
3PW1920208;3PW19V0208;ja;draft
3PW1928400/01;3PW192840001;ja;draft
3PW1929100/01;3PW192910001;ja;draft
3PW1929100/11;3PW192910011;ja;draft
3PW1929100/12;3PW192910012;ja;draft
3PW1929100/13;3PW192910013;ja;draft
3PW1929100/14;3PW192910014;ja;draft
3PW1929100/15;3PW192910015;ja;draft
3PW1929100/16;3PW192910016;ja;draft
3PW1929200/01;3PW192920001;ja;active
3PW1929200/11;3PW192920011;ja;draft
3PW1929200/12;3PW192920012;ja;draft
3PW1929200/13;3PW192920013;ja;draft
3PW1929200/14;3PW192920014;ja;draft
3PW1929200/15;3PW192920015;ja;draft
3PW1929200/16;3PW192920016;ja;draft
3PW1929300/21;3PW192930021;ja;draft
3PW1970600;3PW19V0600;ja;draft
3PW1970700;3PW19V0700;ja;draft
3PW1971000;3PW19V1000;ja;draft
3PW1973200;3PW220061400;ja;draft
3PW1980102;3PW19V0102;ja;draft
3PW1980103;3PW19V0103;ja;draft
3PW1980104;3PW19V0104;ja;draft
3PW1980105;3PW19V0105;ja;draft
3PW1982202;3PW19V2202;ja;draft
3PW1982203;3PW19V2203;ja;draft
3PW1982204;3PW19V2204;ja;draft
3PW1982205;3PW19V2205;ja;draft
3PW1990802;3PW19V0802;ja;active
3PW1990803;3PW19V0803;ja;active
3PW1990804;3PW19V0804;ja;active
3PW1990805;3PW19V0805;ja;active
3PW1990806;3PW19V0806;ja;active
3PW1999100/01;3PW199910001;ja;active
3PW1999100/12;3PW199910012;ja;draft
3PW1999100/13;3PW199910013;ja;draft
3PW1999100/14;3PW199910014;ja;draft
3PW200007401;3PW20V007401;ja;active
3PW200007402;3PW20V007402;ja;active
3PW200007403;3PW20V007403;ja;active
3PW200007405;3PW20V007405;ja;active
3PW200007406;3PW20V007406;ja;active
3PW200007602;3PW20V007602;ja;active
3PW200007603;3PW20V007604;ja;active
3PW200007604;3PW20V007604;ja;active
3PW200007605;3PW20V007605;ja;active
3PW200007606;3PW20V007606;ja;active
3PW200008401;3PW20V008401;ja;draft
3PW200008402;3PW20V008402;ja;draft
3PW200008403;3PW20V008403;ja;draft
3PW200008404;3PW20V008404;ja;draft
3PW200008405;3PW20V008405;ja;draft
3PW200008406;3PW20V008406;ja;draft
3PW200008407;3PW20V008407;ja;draft
3PW200008408;3PW20V008408;ja;draft
3PW200008409;3PW20V008409;ja;draft
3PW200008410;3PW20V008410;ja;draft
3PW200008601;3PW20V008601;ja;draft
3PW200008602;3PW20V008602;ja;draft
3PW200008603;3PW20V008603;ja;draft
3PW200008604;3PW20V008604;ja;draft
3PW200008605;3PW20V008605;ja;draft
3PW200008606;3PW20V008606;ja;draft
3PW200008607;3PW20V008607;ja;draft
3PW200008608;3PW20V008608;ja;draft
3PW200008609;3PW20V008609;ja;draft
3PW200008610;3PW20V008610;ja;draft
3PW200009502;3PW20V009502;ja;draft
3PW200009503;3PW20V009503;ja;draft
3PW200009504;3PW20V009504;ja;draft
3PW200009505;3PW20V009505;ja;draft
3PW200009506;3PW20V009506;ja;draft
3PW200009507;3PW20V009507;ja;draft
3PW200009508;3PW20V009508;ja;draft
3PW200012700;3PW20V012700;ja;draft
3PW200023600;3PW20V023600;ja;draft
3PW200024403;3PW200024402;ja;draft
3PW200024600;3PW20V024600;ja;draft
3PW210002302;3PW21V002302;ja;draft
3PW210002303;3PW21V002303;ja;draft
3PW210002304;3PW21V002304;ja;draft
3PW210002706;3PW21V002706;ja;draft
3PW210007802;3PW21V007802;ja;active
3PW210007803;3PW21V007803;ja;active
3PW210007804;3PW21V007804;ja;active
3PW210009000;3PW21V009000;ja;draft
3PW210015300;3PW220042100;ja;draft
3PW210015301;3PW220042101;ja;draft
3PW210015302;3PW220042102;ja;draft
3PW210015303;3PW220042103;ja;draft
3PW210015304;3PW220042104;ja;draft
3PW210015305;3PW220042105;ja;draft
3PW210015306;3PW220042106;ja;draft
3PW210015307;3PW220042107;ja;draft
3PW210015401;3PW220042201;ja;active
3PW210015407;3PW220042207;ja;active
3PW210015500;3PW220041900;ja;active
3PW210015501;3PW220041901;ja;active+draft
3PW210015503;3PW220041903;ja;active+draft
3PW210015504;3PW220041904;ja;active+draft
3PW210015505;3PW220041905;ja;active+draft
3PW210015506;3PW220041906;ja;active+draft
3PW210015507;3PW220041907;ja;active+draft
3PW210015600;3PW220041800;ja;draft
3PW210015602;3PW220041802;ja;draft
3PW210015603;3PW220041803;ja;draft
3PW210015604;3PW220041804;ja;draft
3PW210015606;3PW220041806;ja;draft
3PW210015607;3PW220041807;ja;draft
3PW210015700;3PW220042000;ja;draft
3PW210015701;3PW220042001;ja;draft
3PW210015702;3PW220042002;ja;draft
3PW210015707;3PW220042007;ja;draft
3PW210016701;3PW220042301;ja;active
3PW210016702;3PW220042302;ja;active
3PW210016705;3PW220042305;ja;active
3PW210016706;3PW220042306;ja;active
3PW210016707;3PW220042307;ja;active
3PW210024400;3PW210065800;ja;active
3PW210066301;3PW210079601;ja;draft
3PW210066302;3PW210079602;ja;draft
3PW210066303;3PW210079603;ja;draft
3PW210066304;3PW210079604;ja;draft
3PW210066305;3PW210079605;ja;draft
3PW210066306;3PW210079606;ja;draft
3PW210066307;3PW210079607;ja;draft
3PW210066401;3PW210079701;ja;draft
3PW210066402;3PW210079702;ja;draft
3PW210066403;3PW210079703;ja;draft
3PW210066404;3PW210079704;ja;draft
3PW210066405;3PW210079705;ja;draft
3PW210066406;3PW210079706;ja;draft
3PW210066407;3PW210079707;ja;draft
3PW210066501;3PW210079801;ja;draft
3PW210066502;3PW210079802;ja;draft
3PW210066503;3PW210079803;ja;draft
3PW210066504;3PW210079804;ja;draft
3PW210066505;3PW210079805;ja;draft
3PW210066506;3PW210079806;ja;draft
3PW210066507;3PW210079807;ja;draft
