product_id;status;title;current_handle;expected_handle;rule;variant_count;variant_skus;audit_reason;collision;collision_product_id;fixable
9637454250314;ACTIVE;4,5 Kids Chest Protector;hsq-3hs199720x;3hs199720x;multi_variant_suffix_x;2;3HS1997202,3HS1997204;expected_handle_mismatch;0;;1
9369924010314;ACTIVE;4,5 Pro Chest Protector;hsq-3hs25001170x;3hs250011702;single_variant_exact_sku;1;3HS250011702;expected_handle_mismatch;0;;1
8774940164426;ACTIVE;4.5 Lite Gotland Gloves;hsq-3hs24001730x;3hs24001730x;multi_variant_suffix_x;5;3HS240017302,3HS240017303,3HS240017304,3HS240017305,3HS240017306;expected_handle_mismatch;0;;1
8774690079050;DRAFT;401 style set 1;hsq-10000360;10000360;single_variant_exact_sku;1;10000360;expected_handle_mismatch;0;;1
9369754566986;DRAFT;401 style set 1;hsq-00010000360;10000360;single_variant_exact_sku;1;10000360;expected_handle_mismatch;0;;1
8774690013514;DRAFT;401 style set 2;hsq-10000361;10000361;single_variant_exact_sku;1;10000361;expected_handle_mismatch;0;;1
9369754534218;DRAFT;401 style set 2;hsq-00010000361;10000361;single_variant_exact_sku;1;10000361;expected_handle_mismatch;0;;1
8775070974282;DRAFT;4054 MA cartridge vice;hsq-t616s;t616s;single_variant_exact_sku;1;T616S;expected_handle_mismatch;1;7113469591733;0
8775068025162;DRAFT;4054 MXMA tensioner;hsq-t601s;t601s;single_variant_exact_sku;1;T601S;expected_handle_mismatch;1;7113469362357;0
10281903554890;ACTIVE;450 MODEL BIKE KTM Red Bull SX-F C. CHASE SEXTON;450-model-bike-ktm-red-bull-sx-f-c-chase-sexton;99981-12-310;single_variant_exact_sku;1;99981-12-310;expected_handle_mismatch;0;;1
10192751526218;ACTIVE;450 MODEL BIKE KTM Red Bull SX-F C. PLESSINGER;450-model-bike-ktm-red-bull-sx-f-c-plessinger;99981-12-292;single_variant_exact_sku;1;99981-12-292;expected_handle_mismatch;0;;1
9555738067274;ACTIVE;450 MODEL BIKE KTM Red Bull SX-F C. Webb;450-model-bike-ktm-red-bull-dx-f-c-webb;99981-12-291;single_variant_exact_sku;1;99981-12-291;expected_handle_mismatch;0;;1
10281904374090;ACTIVE;450 MODEL BIKE KTM with rider 1:12;450-model-bike-ktm-with-rider-1-12;99984-12-802;single_variant_exact_sku;1;99984-12-802;expected_handle_mismatch;0;;1
8774963265866;ACTIVE;6AH BATTERY (18/20EDRIVE);hsq-spstacyc500014;spstacyc500014;single_variant_exact_sku;1;SPSTACYC500014;expected_handle_mismatch;1;8636994322762;0
8775165247818;ACTIVE;6G battery;hsq-00029xc3014;00029xc3014;single_variant_exact_sku;1;00029XC3014;expected_handle_mismatch;1;8637000974666;0
8774690177354;DRAFT;701 Vitpilen style set;hsq-10000359;10000359;single_variant_exact_sku;1;10000359;expected_handle_mismatch;0;;1
9369754632522;DRAFT;701 Vitpilen style set;hsq-00010000359;10000359;single_variant_exact_sku;1;10000359;expected_handle_mismatch;0;;1
10103609491786;DRAFT;A-ARM DOWN L/S XC CPL.;a-arm-down-l-s-xc-cpl;83061002044;single_variant_exact_sku;1;83061002044;expected_handle_mismatch;0;;1
8705014563146;ACTIVE;ABS-SENSOR;abs-sensor;76042125000;single_variant_exact_sku;1;76042125000;expected_handle_mismatch;0;;1
10295642816842;ACTIVE;ABS-SENSOR;abs-sensor-1;76042025000;single_variant_exact_sku;1;76042025000;expected_handle_mismatch;0;;1
