Handle,Title,Body (HTML),Vendor,Product category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
hsq-00010000354,Rear brake conversion kit,"<ul><li>Consistent, high-level braking performance</li><li>Clear pressure point across the entire temperature range</li><li>More brake power</li><li>Larger diameter for added braking performance</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Special parts,HSQ - Brakes,TRUE,Title,Default Title,,,,,00010000354,,shopify,,continue,manual,399.00,,TRUE,TRUE,9010544314496,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000354_brake_caliper_kit__sall__awsg__v1.jpg?v=1650461431,1,Rear brake conversion kit,FALSE,Rear brake conversion kit,"Consistent, high-level braking performance Clear pressure point across the entire temperature range More brake power Larger diameter for added braking performance",Motor Vehicle Parts,,Adult,00010000354,HSQ - Special parts,HSQ - Brakes,new,FALSE,,,,,,,kg,,
hsq-00010000363,Crash bung kit,Protects the swing arm,HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Chassis Street,HSQ - Protection,TRUE,Title,Default Title,,,,,00010000363,,shopify,,continue,manual,85.06,,TRUE,TRUE,9010544346510,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000363_crash_bung_kit__sall__awsg__v1.jpg?v=1649961452,1,Crash bung kit,FALSE,Crash bung kit,Protects the swing arm,Motor Vehicle Parts,,Adult,00010000363,HSQ - Chassis Street,HSQ - Protection,new,FALSE,,,,,,,kg,,
hsq-00010000373k,Plastic parts kit,"Kit contains:<ul><li class=""li-square"">Fork protector kit</li><li class=""li-square"">Fender</li><li class=""li-square"">Air filter cover (LH)</li><li class=""li-square"">Air filter cover (RH)</li><li class=""li-square"">Side fairing (LH)</li><li class=""li-square"">Side fairing (RH)</li><li class=""li-square"">Start number plate</li><li class=""li-square"">Spoiler set</li><li class=""li-square"">Tail section</li></ul><p>All parts packed in a box.</p>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Trim parts,HSQ - Trim parts/decals,TRUE,Title,Default Title,,,,,00010000373K,,shopify,,continue,manual,199.95,,TRUE,TRUE,9010544408744,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_00010000373k_kunststoffteilekit_wei__1__sall__awsg__v1.png?v=1700839837,1,Plastic parts kit,FALSE,Plastic parts kit,Kit contains: Fork protector kit Fender Air filter cover (LH) Air filter cover (RH) Side fairing (LH) Side fairing (RH) Start number plate Spoiler set Tail section All parts packed in a box.,Motor Vehicle Parts,,Adult,00010000373K,HSQ - Trim parts,HSQ - Trim parts/decals,new,FALSE,,,,,,,kg,,
hsq-00010000375k,Plastic parts kit,"Kit contains:<ul><li class=""li-square"">Fork protector kit</li><li class=""li-square"">Fender</li><li class=""li-square"">Air filter cover (LH)</li><li class=""li-square"">Air filter cover (RH)</li><li class=""li-square"">Side fairing (LH)</li><li class=""li-square"">Side fairing (RH)</li><li class=""li-square"">Start number plate</li><li class=""li-square"">Spoiler set</li><li class=""li-square"">Tail section</li></ul><p>All parts packed in a box.</p>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Trim parts,HSQ - Trim parts/decals,TRUE,Title,Default Title,,,,,00010000375K,,shopify,,continue,manual,199.95,,TRUE,TRUE,9010544408690,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_00010000375_plastik_kit_grey_hqv__sall__awsg__v1.jpg?v=1700840636,1,Plastic parts kit,FALSE,Plastic parts kit,Kit contains: Fork protector kit Fender Air filter cover (LH) Air filter cover (RH) Side fairing (LH) Side fairing (RH) Start number plate Spoiler set Tail section All parts packed in a box.,Motor Vehicle Parts,,Adult,00010000375K,HSQ - Trim parts,HSQ - Trim parts/decals,new,FALSE,,,,,,,kg,,
hsq-00010000376,Plastic parts kit,"Kit contains:<ul><li class=""li-square"">Fender</li><li class=""li-square"">Air filter cover (LH)</li><li class=""li-square"">Air filter cover (RH)</li><li class=""li-square"">Side fairing (LH)</li><li class=""li-square"">Side fairing (RH)</li><li class=""li-square"">Start number plate</li><li class=""li-square"">Spoiler set</li><li class=""li-square"">Tail section</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Best Deal,HSQ - Technical Accessories,TRUE,Title,Default Title,,,,,00010000376,,shopify,,continue,manual,159.05,,TRUE,TRUE,9010544366204,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_00010000376_plastik_kit_yellow_hqv__sall__awsg__v1.jpg?v=1700840636,1,Plastic parts kit,FALSE,Plastic parts kit,Kit contains: Fender Air filter cover (LH) Air filter cover (RH) Side fairing (LH) Side fairing (RH) Start number plate Spoiler set Tail section,Motor Vehicle Parts,,Adult,00010000376,HSQ - Best Deal,HSQ - Technical Accessories,new,FALSE,,,,,,,kg,,
hsq-00010000379k,Plastic parts kit,"Kit contains:<ul><li class=""li-square"">Fork protector kit</li><li class=""li-square"">Fender</li><li class=""li-square"">Air filter cover (LH)</li><li class=""li-square"">Air filter cover (RH)</li><li class=""li-square"">Side fairing (LH)</li><li class=""li-square"">Side fairing (RH)</li><li class=""li-square"">Start number plate</li><li class=""li-square"">Spoiler set</li><li class=""li-square"">Tail section</li></ul><p>All parts packed in a box.</p>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Trim parts,HSQ - Trim parts/decals,TRUE,Title,Default Title,,,,,00010000379K,,shopify,,continue,manual,199.95,,TRUE,TRUE,9010544408782,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_00010000379_plastik_kit_black_hqv__sall__awsg__v1.jpg?v=1700840637,1,Plastic parts kit,FALSE,Plastic parts kit,Kit contains: Fork protector kit Fender Air filter cover (LH) Air filter cover (RH) Side fairing (LH) Side fairing (RH) Start number plate Spoiler set Tail section All parts packed in a box.,Motor Vehicle Parts,,Adult,00010000379K,HSQ - Trim parts,HSQ - Trim parts/decals,new,FALSE,,,,,,,kg,,
hsq-00010000380,Cleaning kit,"Kit contains all required covers for a thoroughly cleaning process of the bike:<ul><li class=""li-square"">Air filter cover</li><li class=""li-square"">Plug</li><li class=""li-square"">Wash cap set</li></ul>",HUSQVARNA,Hardware > Tools,HSQ - Tools,HSQ - Tool/transport,TRUE,Title,Default Title,,,,,00010000380,,shopify,,continue,manual,37.99,,TRUE,TRUE,9010544386714,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000380_cleaning_kit__sall__awsg__v1.jpg?v=1656931860,1,Cleaning kit,FALSE,Cleaning kit,Kit contains all required covers for a thoroughly cleaning process of the bike: Air filter cover Plug Wash cap set,Tools,,Adult,00010000380,HSQ - Tools,HSQ - Tool/transport,new,FALSE,,,,,,,kg,,
hsq-00010000381,Factory Racing brake and clutch master cylinder guard,"<ul><li class=""li-square"">Only for Brembo systems</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Offroad,HSQ - Carbon,TRUE,Title,Default Title,,,,,00010000381,,shopify,,continue,manual,149.07,,TRUE,TRUE,9010544403091,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000381_factory_racing_master___clutch_master_cylinder_protection__sall__awsg__v1.jpg?v=1675956916,1,Factory Racing brake and clutch master cylinder guard,FALSE,Factory Racing brake and clutch master cylinder guard,Only for Brembo systems,Motor Vehicle Parts,,Adult,00010000381,HSQ - Offroad,HSQ - Carbon,new,FALSE,,,,,,,kg,,
hsq-00010000384,Flame brake disc kit,"<ul><li class=""li-square"">Up to 20% weight saving compared to stock components;</li><li class=""li-square"">Incl. the required CNC machined, black anodized brake caliper support for Braktec brake systems</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Brake discs,HSQ - Brakes,TRUE,Title,Default Title,,,,,00010000384,,shopify,,continue,manual,259.00,,TRUE,TRUE,9010544413458,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_78913914100_78909960000_brake_calliper_support__sall__awsg__v1.jpg?v=1650466413,1,Flame brake disc kit,FALSE,Flame brake disc kit,"Up to 20% weight saving compared to stock components; Incl. the required CNC machined, black anodized brake caliper support for Braktec brake systems",Motor Vehicle Parts,,Adult,00010000384,HSQ - Brake discs,HSQ - Brakes,new,FALSE,,,,,,,kg,,
hsq-00010000390k,Plastic parts kit,"Kit contains:<ul><li class=""li-square"">Fork protector kit</li><li class=""li-square"">Fender</li><li class=""li-square"">Air filter cover (LH)</li><li class=""li-square"">Air filter cover (RH)</li><li class=""li-square"">Side fairing (LH)</li><li class=""li-square"">Side fairing (RH)</li><li class=""li-square"">Headlight shroud</li><li class=""li-square"">Spoiler set</li><li class=""li-square"">Tail section</li></ul><p>All parts packed in a box</p>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Trim parts,HSQ - Trim parts/decals,TRUE,Title,Default Title,,,,,00010000390K,,shopify,,continue,manual,199.95,,TRUE,TRUE,9010544451719,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_00010000390k_plastic_parts_kit_white_hqv__sall__awsg__v1.jpg?v=1700839923,1,Plastic parts kit,FALSE,Plastic parts kit,Kit contains: Fork protector kit Fender Air filter cover (LH) Air filter cover (RH) Side fairing (LH) Side fairing (RH) Headlight shroud Spoiler set Tail section All parts packed in a box,Motor Vehicle Parts,,Adult,00010000390K,HSQ - Trim parts,HSQ - Trim parts/decals,new,FALSE,,,,,,,kg,,
