row_kind,title,handle,status,variant_sku,product_id_numeric,variant_id_numeric,admin_url
x_single_variant,RB KTM WINTER POM POM BEANIE,3rb23005790x,ACTIVE,3RB230057900,9636488675658,49823198282058,https://ktm-shop-nl.myshopify.com/admin/products/9636488675658
shared_sku_peer,RB KTM WINTER POM POM BEANIE,3rb230057900,ACTIVE,3RB230057900,15563672093002,61426459935050,https://ktm-shop-nl.myshopify.com/admin/products/15563672093002
x_single_variant,RB ZONE KEYRING,3rb23005050x,ACTIVE,3RB230050500,7425448902837,42773488730293,https://ktm-shop-nl.myshopify.com/admin/products/7425448902837
shared_sku_peer,RB ZONE KEYRING,3rb230050500,ACTIVE,3RB230050500,15563671798090,61426458100042,https://ktm-shop-nl.myshopify.com/admin/products/15563671798090
shared_sku_peer,Red Bull KTM Advent Calender,3rb240078800,ACTIVE,3RB240078800,15563676746058,61426472157514,https://ktm-shop-nl.myshopify.com/admin/products/15563676746058
shared_sku_peer,Red Bull KTM Apex Beanie,3rb240063200,ACTIVE,3RB240063200,15563675566410,61426468880714,https://ktm-shop-nl.myshopify.com/admin/products/15563675566410
shared_sku_peer,Red Bull KTM Apex Lanyard,3rb240060500,ACTIVE,3RB240060500,15563675074890,61426467701066,https://ktm-shop-nl.myshopify.com/admin/products/15563675074890
shared_sku_peer,Red Bull KTM Apex Sports Bag,3rb240059600,ACTIVE,3RB240059600,15563674386762,61426466259274,https://ktm-shop-nl.myshopify.com/admin/products/15563674386762
shared_sku_peer,Red Bull KTM Apex Umbrella,3rb240060800,ACTIVE,3RB240060800,15563675304266,61426468159818,https://ktm-shop-nl.myshopify.com/admin/products/15563675304266
shared_sku_peer,Red Bull KTM Brad Binder Curved Cap,3rb240071100,ACTIVE,3RB240071100,15563676451146,61426471534922,https://ktm-shop-nl.myshopify.com/admin/products/15563676451146
shared_sku_peer,Red Bull KTM Brad Binder Keyring,3rb240060300,ACTIVE,3RB240060300,15563674845514,61426467275082,https://ktm-shop-nl.myshopify.com/admin/products/15563674845514
shared_sku_peer,Red Bull KTM Carbon Beanie,3rb240063600,ACTIVE,3RB240063600,15563675861322,61426469601610,https://ktm-shop-nl.myshopify.com/admin/products/15563675861322
shared_sku_peer,Red Bull KTM Carbon Curved Cap,3rb240063500,ACTIVE,3RB240063500,15563675763018,61426469273930,https://ktm-shop-nl.myshopify.com/admin/products/15563675763018
