Handle,Title,Body (HTML),Vendor,Product category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
wp-00029090200,Sag scale,"<ul><li class=""li-square"">Makes setting the sag significantly simpler.</li><li class=""li-square"">Folding version for easy stowing in the tool box.</li></ul>",WP,Hardware > Tools,WP - Tools,WP - Tool/transport,TRUE,Title,Default Title,,,,,00029090200,,shopify,,continue,manual,55.05,,TRUE,TRUE,9010544384703,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00029090200_sag_scale__sall__awsg__v1.jpg?v=1665995010,1,Sag scale,FALSE,Sag scale,Makes setting the sag significantly simpler. Folding version for easy stowing in the tool box.,Tools,,Adult,00029090200,WP - Tools,WP - Tool/transport,new,FALSE,,,,,,,kg,,
wp-00029920000c1,Chain gauge,"<ul><li class=""li-square"">Patented gage for two important checks:</li><li class=""li-square"">Check and adjust chain tension</li><li class=""li-square"">Check chain lengthening (wear)</li></ul>",WP,Hardware > Tools,WP - Tools,WP - Tool/transport,FALSE,Title,Default Title,,,,,00029920000C1,,shopify,,continue,manual,19.96,,TRUE,TRUE,9010544409291,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00029920000c1_chain_gauge__sall__awsg__v1.jpg?v=1662365318,1,Chain gauge,FALSE,Chain gauge,Patented gage for two important checks: Check and adjust chain tension Check chain lengthening (wear),Tools,,Adult,00029920000C1,WP - Tools,WP - Tool/transport,new,FALSE,,,,,,,kg,,
wp-00029920100c1,Chain gauge,- Patented gage for two important checks:<br />- Check and adjust chain tension<br />- Check chain lengthening (wear),WP,Hardware > Tools,WP - Tools,WP - Tool/transport,FALSE,Title,Default Title,,,,,00029920100C1,,shopify,,continue,manual,,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00029920000c1_chain_gauge__sall__awsg__v1.jpg?v=1662365318,1,Chain gauge,FALSE,Chain gauge,- Patented gage for two important checks: - Check and adjust chain tension - Check chain lengthening (wear),Tools,,Adult,00029920100C1,WP - Tools,WP - Tool/transport,new,FALSE,,,,,,,kg,,
wp-00029996100,Torque wrench,"High-quality, adjustable torque wrench 5-25 NM, including the following accessories:<p>- Push-on spoke wrenches in sizes 5.65 and 6.95 mm<br />- Push-on ratchet ¼""<br />- Ratchet attachments: 6, 8, 10 mm socket wrench, 15 Torx</p><p> </p>",WP,Hardware > Tools,WP - Tools,WP - Tool/transport,TRUE,Title,Default Title,,,,,00029996100,,shopify,,continue,manual,279.03,,TRUE,TRUE,9010544518061,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00029996100_torque_wrench_studio_pictures_offroad__sall__awsg__v1.jpg?v=1720159088,1,Torque wrench,FALSE,Torque wrench,"High-quality, adjustable torque wrench 5-25 NM, including the following accessories: - Push-on spoke wrenches in sizes 5.65 and 6.95 mm - Push-on ratchet ¼"" - Ratchet attachments: 6, 8, 10 mm socket wrench, 15 Torx",Tools,,Adult,00029996100,WP - Tools,WP - Tool/transport,new,FALSE,,,,,,,kg,,
wp-00050000929,Handlebar mount kit,Handlebar mount kit,WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Offroad,WP - Steering Damper,TRUE,Title,Default Title,,,,,00050000929,,shopify,,continue,manual,99.70,,TRUE,TRUE,9010152016188,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00050000929_handlebar_support_kit__sall__awsg__v1.jpg?v=1650465297,1,Handlebar mount kit,FALSE,Handlebar mount kit,Handlebar mount kit,Motor Vehicle Parts,,Adult,00050000929,WP - Offroad,WP - Steering Damper,new,FALSE,,,,,,,kg,,
wp-00062010051,Special grease AER Fork 50g,Special grease AER Fork 50g,WP,Hardware > Tools,WP - Grease,WP - Special tools,FALSE,Title,Default Title,,,,,00062010051,,shopify,,continue,manual,12.28,,TRUE,TRUE,9010152013262,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_fallback_fallback_no_picture__sall__awsg__v1.jpg?v=1774382207,1,Special grease AER Fork 50g,FALSE,Special grease AER Fork 50g,Special grease AER Fork 50g,Tools,,Adult,00062010051,WP - Grease,WP - Special tools,new,FALSE,,,,,,,kg,,
wp-00062010053,Special grease AER Fork,Special grease AER Fork,WP,Hardware > Tools,WP - Grease,WP - Special tools,TRUE,Title,Default Title,,,,,00062010053,,shopify,,continue,manual,43.20,,TRUE,TRUE,9010152013255,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00062010053_spezial_fett_aer_fork_400g__sall__awsg__v1.jpg?v=1662365335,1,Special grease AER Fork,FALSE,Special grease AER Fork,Special grease AER Fork,Tools,,Adult,00062010053,WP - Grease,WP - Special tools,new,FALSE,,,,,,,kg,,
wp-0015080256s,Hexagonal bolt with external hexagon with collar M8x25,Hexagonal bolt with external hexagon with collar M8x25,WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Spare Parts,WP - Pro Components,TRUE,Title,Default Title,,,,,0015080256S,,shopify,,continue,manual,3.27,,TRUE,TRUE,9010152039934,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_fallback_fallback_no_picture__sall__awsg__v1.jpg?v=1774382207,1,Hexagonal bolt with external hexagon with collar M8x25,FALSE,Hexagonal bolt with external hexagon with collar M8x25,Hexagonal bolt with external hexagon with collar M8x25,Motor Vehicle Parts,,Adult,0015080256S,WP - Spare Parts,WP - Pro Components,new,FALSE,,,,,,,kg,,
wp-0025080256s,Hexagonal bolt with external hexagon with collar M8x25,Hexagonal bolt with external hexagon with collar M8x25,WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Spare Parts,WP - Pro Components,TRUE,Title,Default Title,,,,,0025080256S,,shopify,,continue,manual,3.75,,TRUE,TRUE,9010152037947,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_fallback_fallback_no_picture__sall__awsg__v1.jpg?v=1774382207,1,Hexagonal bolt with external hexagon with collar M8x25,FALSE,Hexagonal bolt with external hexagon with collar M8x25,Hexagonal bolt with external hexagon with collar M8x25,Motor Vehicle Parts,,Adult,0025080256S,WP - Spare Parts,WP - Pro Components,new,FALSE,,,,,,,kg,,
wp-0025080356,Hexagonal bolt with external hexagon with collar M8X35,Hexagonal bolt with external hexagon with collar M8X35,WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Spare Parts,WP - Pro Components,TRUE,Title,Default Title,,,,,0025080356,,shopify,,continue,manual,3.27,,TRUE,TRUE,9010152037893,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_fallback_fallback_no_picture__sall__awsg__v1.jpg?v=1774382207,1,Hexagonal bolt with external hexagon with collar M8X35,FALSE,Hexagonal bolt with external hexagon with collar M8X35,Hexagonal bolt with external hexagon with collar M8X35,Motor Vehicle Parts,,Adult,0025080356,WP - Spare Parts,WP - Pro Components,new,FALSE,,,,,,,kg,,
