handle,sample_sku,sku_count
hsq-f2101y3,F2101Y3,1
hsq-f2101y4,F2101Y4,1
hsq-f2101z1,F2101Z1,1
hsq-f2103m9,F2103M9,1
hsq-f2103n9,F2103N9,1
hsq-f2103q9,F2103Q9,1
hsq-f2103r9,F2103R9,1
hsq-f2103s9,F2103S9,1
hsq-f2103t4,F2103T4,1
hsq-f2103u4,F2103U4,1
hsq-f2103w5,F2103W5,1
hsq-f2103y4,F2103Y4,1
hsq-f2103y5,F2103Y5,1
hsq-f2103y8,F2103Y8,1
hsq-f2103z4,F2103Z4,1
hsq-f2103z8,F2103Z8,1
hsq-f2175q9,F2175Q9,1
hsq-f2175r9,F2175R9,1
hsq-f2175s9,F2175S9,1
hsq-f2175v2,F2175V2,1
hsq-f2175x2,F2175X2,1
hsq-f2175y6,F2175Y6,1
hsq-f2175z6,F2175Z6,1
hsq-f2175z9,F2175Z9,1
hsq-f2201n1,F2201N1,1
hsq-f2201o1,F2201O1,1
hsq-f2201p1,F2201P1,1
hsq-f2201q1,F2201Q1,1
hsq-f2201q6,F2201Q6,1
hsq-f2201r1,F2201R1,1
hsq-f2201r6,F2201R6,1
hsq-f2201s1,F2201S1,1
hsq-f2201s6,F2201S6,1
hsq-f2201t1,F2201T1,1
hsq-f2201t6,F2201T6,1
hsq-f2201u6,F2201U6,1
hsq-f2201v6,F2201V6,1
hsq-f2201wx,F2201W6,2
hsq-f2201x6,F2201X6,1
hsq-f2203u8,F2203U8,1
hsq-f2203v8,F2203V8,1
hsq-f2203y5,F2203Y5,1
hsq-f2203y7,F2203Y7,1
hsq-f2203z5,F2203Z5,1
hsq-f2275o4,F2275O4,1
hsq-f2275p4,F2275P4,1
hsq-f2275t4,F2275T4,1
hsq-f2275u4,F2275U4,1
hsq-f2275v4,F2275V4,1
hsq-f2275w4,F2275W4,1
hsq-f2275x4,F2275X4,1
hsq-f2275x6,F2275X6,1
hsq-f2275y2,F2275Y2,1
hsq-f2275y3,F2275Y3,1
hsq-f2275y4,F2275Y4,1
hsq-f2275y8,F2275Y8,1
hsq-f2275z2,F2275Z2,1
hsq-f2275z4,F2275Z4,1
hsq-f2301127,F2301127,1
hsq-f2301n1,F2301N1,1
hsq-f2301o1,F2301O1,1
hsq-f2301p1,F2301P1,1
hsq-f2301q1,F2301Q1,1
hsq-f2301q6,F2301Q6,1
hsq-f2301r1,F2301R1,1
hsq-f2301r6,F2301R6,1
hsq-f2301s1,F2301S1,1
hsq-f2301s6,F2301S6,1
hsq-f2301t1,F2301T1,1
hsq-f2301t6,F2301T6,1
hsq-f2301u1,F2301U1,1
hsq-f2301u6,F2301U6,1
hsq-f2301v1,F2301V1,1
hsq-f2301v6,F2301V6,1
hsq-f2301w1,F2301W1,1
hsq-f2301wx,F2301W6,2
hsq-f2301x1,F2301X1,1
hsq-f2301x6,F2301X6,1
hsq-f2301y1,F2301Y1,1
hsq-f2301y2,F2301Y2,1
hsq-f2301z1,F2301Z1,1
hsq-f2303o0,F2303O0,1
hsq-f2303p0,F2303P0,1
hsq-f2303q0,F2303Q0,1
hsq-f2303r0,F2303R0,1
hsq-f2303s0,F2303S0,1
hsq-f2303t0,F2303T0,1
hsq-f2303t4,F2303T4,1
hsq-f2303u0,F2303U0,1
hsq-f2303u4,F2303U4,1
hsq-f2303v0,F2303V0,1
hsq-f2303v4,F2303V4,1
hsq-f2303w0,F2303W0,1
hsq-f2303x0,F2303X0,1
hsq-f2303y6,F2303Y6,1
hsq-f2303z0,F2303Z0,1
hsq-f2399s1,F2399S1,1
hsq-f2399t1,F2399T1,1
hsq-f2399w1,F2399W1,1
hsq-f2399x1,F2399X1,1
hsq-f2399y1,F2399Y1,1
hsq-f2401227,F2401227,1
hsq-f2401n1,F2401N1,1
hsq-f2401p1,F2401P1,1
hsq-f2401q1,F2401Q1,1
hsq-f2401q5,F2401Q5,1
hsq-f2401r1,F2401R1,1
hsq-f2401r5,F2401R5,1
hsq-f2401s1,F2401S1,1
hsq-f2401s5,F2401S5,1
hsq-f2401t1,F2401T1,1
hsq-f2401t5,F2401T5,1
hsq-f2401u5,F2401U5,1
hsq-f2401v5,F2401V5,1
hsq-f2401wx,F2401W5,2
hsq-f2401x5,F2401X5,1
hsq-f2401y2,F2401Y2,1
hsq-f2401y3,F2401Y3,1
hsq-f2401z1,F2401Z1,1
hsq-f2403r7,F2403R7,1
hsq-f2403u8,F2403U8,1
hsq-f2403x4,F2403X4,1
hsq-f2403y4,F2403Y4,1
hsq-f2403y5,F2403Y5,1
hsq-f2403z4,F2403Z4,1
hsq-f2475o4,F2475O4,1
hsq-f2475p4,F2475P4,1
hsq-f2475r1,F2475R1,1
hsq-f2475s1,F2475S1,1
hsq-f2475t1,F2475T1,1
hsq-f2475t4,F2475T4,1
hsq-f2475u4,F2475U4,1
hsq-f2475v1,F2475V1,1
hsq-f2475v4,F2475V4,1
hsq-f2475w1,F2475W1,1
hsq-f2475w4,F2475W4,1
hsq-f2475x1,F2475X1,1
hsq-f2475x4,F2475X4,1
hsq-f2475x6,F2475X6,1
hsq-f2475y1,F2475Y1,1
hsq-f2475y3,F2475Y3,1
hsq-f2475y4,F2475Y4,1
hsq-f2475yb,F2475YB,1
hsq-f2475yc,F2475YC,1
hsq-f2475yd,F2475YD,1
hsq-f2475z1,F2475Z1,1
hsq-f2475z3,F2475Z3,1
hsq-f2475z4,F2475Z4,1
hsq-f2603s7,F2603S7,1
hsq-f2675127,F2675127,1
hsq-f2703y6,F2703Y6,1
hsq-f2703yx,F2703Y4,2
hsq-f2703z2,F2703Z2,1
hsq-f2775227,F2775227,1
hsq-f2875127,F2875127,1
hsq-f2875227,F2875227,1
hsq-f3001t7,F3001T7,1
hsq-f3001u7,F3001U7,1
hsq-f3001v7,F3001V7,1
hsq-f3001w7,F3001W7,1
hsq-f3001w9,F3001W9,1
hsq-f3001x7,F3001X7,1
hsq-f3001x8,F3001X8,1
hsq-f3001x9,F3001X9,1
hsq-f3001y7,F3001Y7,1
hsq-fc2502015,F2101O1,2
hsq-fc2502021,F2101U1,2
hsq-fc2502022,F2101V1,2
hsq-fc2502023,F2101W1,2
hsq-fc2502024,F2101X1,2
hsq-fc2502025,F2101Y1,2
hsq-fc2502027,F2201127,2
hsq-fc3502021,F2201U1,2
hsq-fc3502022,F2201V1,2
hsq-fc3502023,F2201W1,2
hsq-fc3502024,F2201X1,2
hsq-fc3502025,F2201Y1,2
hsq-fc3502027,F2301427,2
hsq-fc4502015,F2401O1,2
hsq-fc4502021,F2401U1,2
hsq-fc4502022,F2401V1,2
hsq-fc4502023,F2401W1,2
hsq-fc4502024,F2401X1,2
hsq-fc4502025,F2401Y1,3
hsq-fc4502027,F2401527,2
hsq-fc450e2006,2303F3,3
hsq-fe2502013,F2103M3,3
hsq-fe2502014,F2103N3,3
hsq-fe2502015,F2103O4,3
